source_ensembl	source_gene_name	target	target_gene_name	ratio
ENSG00000115944	COX7A2L	ENSG00000057757	PITHD1	5.8125
ENSG00000136193	SCRN1	ENSG00000111912	NCOA7	4.84375
ENSG00000186462	NAP1L2	ENSG00000168734	PKIG	4.66666666666667
ENSG00000113013	HSPA9	ENSG00000149091	DGKZ	4.58333333333333
ENSG00000254772	EEF1G	ENSG00000134243	SORT1	4.5
ENSG00000148798	INA	ENSG00000134982	APC	4.5
ENSG00000164434	FABP7	ENSG00000106211	HSPB1	4.22727272727273
ENSG00000166012	TAF1D	ENSG00000184205	TSPYL2	4.22727272727273
ENSG00000186868	MAPT	ENSG00000138071	ACTR2	4.19791666666667
ENSG00000164106	SCRG1	ENSG00000150995	ITPR1	4.125
ENSG00000146278	PNRC1	ENSG00000184602	SNN	4.125
ENSG00000075785	RAB7A	ENSG00000160710	ADAR	4.08510638297872
ENSG00000108561	C1QBP	ENSG00000011347	SYT7	4.08510638297872
ENSG00000120899	PTK2B	ENSG00000181418	DDN	4.08510638297872
ENSG00000196628	TCF4	ENSG00000150995	ITPR1	3.9375
ENSG00000008735	MAPK8IP2	ENSG00000150995	ITPR1	3.9375
ENSG00000134243	SORT1	ENSG00000150995	ITPR1	3.9375
ENSG00000125534	PPDPF	ENSG00000134243	SORT1	3.91666666666667
ENSG00000134243	SORT1	ENSG00000138443	ABI2	3.91666666666667
ENSG00000186868	MAPT	ENSG00000164434	FABP7	3.91666666666667
ENSG00000109390	NDUFC1	ENSG00000034053	APBA2	3.875
ENSG00000144567	RETREG2	ENSG00000175182	FAM131A	3.875
ENSG00000167778	SPRYD3	ENSG00000152377	SPOCK1	3.875
ENSG00000186868	MAPT	ENSG00000166012	TAF1D	3.875
ENSG00000185565	LSAMP	ENSG00000153902	LGI4	3.875
ENSG00000156515	HK1	ENSG00000131771	PPP1R1B	3.875
ENSG00000154582	ELOC	ENSG00000105404	RABAC1	3.875
ENSG00000100554	ATP6V1D	ENSG00000158560	DYNC1I1	3.875
ENSG00000008735	MAPK8IP2	ENSG00000134243	SORT1	3.77678571428571
ENSG00000173272	MZT2A	ENSG00000099365	STX1B	3.74468085106383
ENSG00000205364	MT1M	ENSG00000125144	MT1G	3.74468085106383
ENSG00000132963	POMP	ENSG00000144369	FAM171B	3.74468085106383
ENSG00000164402	SEPTIN8	ENSG00000172247	C1QTNF4	3.671875
ENSG00000186868	MAPT	ENSG00000168734	PKIG	3.66666666666667
ENSG00000105404	RABAC1	ENSG00000104408	EIF3E	3.66666666666667
ENSG00000177410	ZFAS1	ENSG00000165434	PGM2L1	3.66666666666667
ENSG00000213190	MLLT11	ENSG00000276293	PIP4K2B	3.65972222222222
ENSG00000211450	SELENOH	ENSG00000182667	NTM	3.62765957446809
ENSG00000186310	NAP1L3	ENSG00000204071	TCEAL6	3.61290322580645
ENSG00000172348	RCAN2	ENSG00000115561	CHMP3	3.61290322580645
ENSG00000197535	MYO5A	ENSG00000175550	DRAP1	3.6
ENSG00000170144	HNRNPA3	ENSG00000035862	TIMP2	3.6
ENSG00000173267	SNCG	ENSG00000150995	ITPR1	3.6
ENSG00000175182	FAM131A	ENSG00000057757	PITHD1	3.6
ENSG00000005810	MYCBP2	ENSG00000196419	XRCC6	3.59027777777778
ENSG00000154582	ELOC	ENSG00000136930	PSMB7	3.59027777777778
ENSG00000205937	RNPS1	ENSG00000149091	DGKZ	3.59027777777778
ENSG00000113712	CSNK1A1	ENSG00000168734	PKIG	3.59027777777778
ENSG00000189171	S100A13	ENSG00000128463	EMC4	3.57446808510638
ENSG00000077549	CAPZB	ENSG00000034053	APBA2	3.56060606060606
ENSG00000106052	TAX1BP1	ENSG00000146701	MDH2	3.55208333333333
ENSG00000118200	CAMSAP2	ENSG00000075785	RAB7A	3.55208333333333
ENSG00000159692	CTBP1	ENSG00000132153	DHX30	3.55208333333333
ENSG00000167792	NDUFV1	ENSG00000164434	FABP7	3.55208333333333
ENSG00000186868	MAPT	ENSG00000134352	IL6ST	3.55208333333333
ENSG00000100568	VTI1B	ENSG00000182809	CRIP2	3.55208333333333
ENSG00000167642	SPINT2	ENSG00000101182	PSMA7	3.55208333333333
ENSG00000144369	FAM171B	ENSG00000132507	EIF5A	3.55208333333333
ENSG00000183283	DAZAP2	ENSG00000117020	AKT3	3.54838709677419
ENSG00000101856	PGRMC1	ENSG00000186868	MAPT	3.525
ENSG00000134243	SORT1	ENSG00000125144	MT1G	3.525
ENSG00000173674	EIF1AX	ENSG00000150995	ITPR1	3.525
ENSG00000175182	FAM131A	ENSG00000063046	EIF4B	3.525
ENSG00000138443	ABI2	ENSG00000134982	APC	3.525
ENSG00000070756	PABPC1	ENSG00000108551	RASD1	3.5
ENSG00000008735	MAPK8IP2	ENSG00000125534	PPDPF	3.5
ENSG00000148798	INA	ENSG00000103266	STUB1	3.5
ENSG00000134243	SORT1	ENSG00000035862	TIMP2	3.5
ENSG00000054793	ATP9A	ENSG00000134243	SORT1	3.4875
ENSG00000179271	GADD45GIP1	ENSG00000124767	GLO1	3.48148148148148
ENSG00000229833	PET100	ENSG00000117592	PRDX6	3.44444444444444
ENSG00000100650	SRSF5	ENSG00000177410	ZFAS1	3.44444444444444
ENSG00000138758	SEPTIN11	ENSG00000154118	JPH3	3.44444444444444
ENSG00000169851	PCDH7	ENSG00000124767	GLO1	3.44444444444444
ENSG00000148798	INA	ENSG00000150995	ITPR1	3.42857142857143
ENSG00000120727	PAIP2	ENSG00000186260	MRTFB	3.42708333333333
ENSG00000175182	FAM131A	ENSG00000035862	TIMP2	3.42708333333333
ENSG00000133083	DCLK1	ENSG00000169851	PCDH7	3.41129032258065
ENSG00000105258	POLR2I	ENSG00000134982	APC	3.40425531914894
ENSG00000160710	ADAR	ENSG00000175416	CLTB	3.40425531914894
ENSG00000170889	RPS9	ENSG00000144567	RETREG2	3.390625
ENSG00000197535	MYO5A	ENSG00000134243	SORT1	3.390625
ENSG00000129636	ITFG1	ENSG00000134243	SORT1	3.390625
ENSG00000071553	ATP6AP1	ENSG00000125144	MT1G	3.390625
ENSG00000171703	TCEA2	ENSG00000175182	FAM131A	3.390625
ENSG00000078369	GNB1	ENSG00000164402	SEPTIN8	3.375
ENSG00000186868	MAPT	ENSG00000081154	PCNP	3.375
ENSG00000134243	SORT1	ENSG00000138758	SEPTIN11	3.375
ENSG00000182809	CRIP2	ENSG00000132507	EIF5A	3.375
ENSG00000150995	ITPR1	ENSG00000134982	APC	3.375
ENSG00000134243	SORT1	ENSG00000175182	FAM131A	3.35714285714286
ENSG00000116161	CACYBP	ENSG00000100387	RBX1	3.33548387096774
ENSG00000131495	NDUFA2	ENSG00000269893	SNHG8	3.33333333333333
