source_ensembl	source	target_ensembl	target	ratio
ENSG00000139168	ZCRB1	ENSG00000170759	KIF5B	6.00961538461539
ENSG00000197982	C1orf122	ENSG00000170759	KIF5B	5.17751479289941
ENSG00000197982	C1orf122	ENSG00000135968	GCC2	4.92307692307692
ENSG00000069424	KCNAB2	ENSG00000170759	KIF5B	4.85576923076923
ENSG00000234745	HLA-B	ENSG00000170759	KIF5B	4.67948717948718
ENSG00000111678	C12orf57	ENSG00000170759	KIF5B	4.61538461538462
ENSG00000169714	CNBP	ENSG00000170759	KIF5B	4.51282051282051
ENSG00000172348	RCAN2	ENSG00000170759	KIF5B	4.51282051282051
ENSG00000123200	ZC3H13	ENSG00000170759	KIF5B	4.51282051282051
ENSG00000171033	PKIA	ENSG00000170759	KIF5B	4.35897435897436
ENSG00000119335	SET	ENSG00000166562	SEC11C	4.25
ENSG00000127824	TUBA4A	ENSG00000187672	ERC2	4.23177083333333
ENSG00000089693	MLF2	ENSG00000170759	KIF5B	4.23076923076923
ENSG00000198794	SCAMP5	ENSG00000170759	KIF5B	4.23076923076923
ENSG00000109654	TRIM2	ENSG00000121753	ADGRB2	4.125
ENSG00000184524	CEND1	ENSG00000187164	SHTN1	4.10625
ENSG00000184524	CEND1	ENSG00000187672	ERC2	4.103125
ENSG00000121753	ADGRB2	ENSG00000168314	MOBP	4.0625
ENSG00000174684	B4GAT1	ENSG00000170759	KIF5B	4.04858299595142
ENSG00000126777	KTN1	ENSG00000170759	KIF5B	4.03846153846154
ENSG00000168314	MOBP	ENSG00000139168	ZCRB1	4.01098901098901
ENSG00000115762	PLEKHB2	ENSG00000135968	GCC2	4.00641025641026
ENSG00000145335	SNCA	ENSG00000244274	DBNDD2	4
ENSG00000026025	VIM	ENSG00000058668	ATP2B4	3.94871794871795
ENSG00000168309	FAM107A	ENSG00000170759	KIF5B	3.93846153846154
ENSG00000125144	MT1G	ENSG00000175866	BAIAP2	3.92307692307692
ENSG00000204628	RACK1	ENSG00000070831	CDC42	3.91071428571429
ENSG00000185518	SV2B	ENSG00000244274	DBNDD2	3.90625
ENSG00000145864	GABRB2	ENSG00000091513	TF	3.90625
ENSG00000166974	MAPRE2	ENSG00000177410	ZFAS1	3.89583333333333
ENSG00000187672	ERC2	ENSG00000117419	ERI3	3.89583333333333
ENSG00000177410	ZFAS1	ENSG00000197043	ANXA6	3.89583333333333
ENSG00000067057	PFKP	ENSG00000170759	KIF5B	3.88461538461539
ENSG00000184613	NELL2	ENSG00000170759	KIF5B	3.88461538461538
ENSG00000081154	PCNP	ENSG00000170759	KIF5B	3.88461538461538
ENSG00000115762	PLEKHB2	ENSG00000139168	ZCRB1	3.88461538461538
ENSG00000145362	ANK2	ENSG00000170759	KIF5B	3.88461538461538
ENSG00000119335	SET	ENSG00000100387	RBX1	3.85763888888889
ENSG00000058668	ATP2B4	ENSG00000111912	NCOA7	3.84615384615385
ENSG00000125743	SNRPD2	ENSG00000170759	KIF5B	3.84615384615385
ENSG00000111912	NCOA7	ENSG00000139168	ZCRB1	3.84615384615385
ENSG00000158560	DYNC1I1	ENSG00000139168	ZCRB1	3.84615384615385
ENSG00000179218	CALR	ENSG00000170759	KIF5B	3.84615384615385
ENSG00000177410	ZFAS1	ENSG00000166562	SEC11C	3.80208333333333
ENSG00000125827	TMX4	ENSG00000168314	MOBP	3.79166666666667
