GENE             CHR      START       STOP   NSNPS  NPARAM     N        ZSTAT            P
ENSG00000228794    1     725518     813582       3       1  5744      0.25136      0.40077
ENSG00000225880    1     751586     797902       3       1  5744      0.25136      0.40077
ENSG00000285812    1     997965    1049978      91       8  5744       1.8107      0.03509
ENSG00000131591    1    1007198    1086741     128      10  5744       2.2897      0.01102
ENSG00000223823    1    1037397    1089436      72       4  5744       2.3879    0.0084726
ENSG00000162571    1    1074264    1143315      47       4  5744     -0.44684      0.67251
ENSG00000205231    1    1098436    1149935      44       3  5744      -1.1516      0.87526
ENSG00000186891    1    1128888    1176972      40       3  5744      -1.5804        0.943
ENSG00000176022    1    1132617    1180421      35       2  5744      -1.0901      0.86216
ENSG00000186827    1    1136720    1184533      35       2  5744      -1.0901      0.86216
ENSG00000078808    1    1142288    1202447      36       2  5744     -0.64174      0.73948
ENSG00000184163    1    1167826    1217102      16       2  5744       2.1121     0.017339
ENSG00000260179    1    1175157    1221714      17       2  5744       2.1222      0.01691
ENSG00000230415    1    1175603    1225800      17       2  5744       2.1222      0.01691
ENSG00000160087    1    1179289    1244265      17       2  5744       2.1222      0.01691
ENSG00000162572    1    1180816    1237409      17       2  5744       2.1222      0.01691
ENSG00000169972    1    1208977    1257057      13       2  5744       2.0087     0.022282
ENSG00000131584    1    1217770    1279989       1       1  5744       1.8773      0.03024
ENSG00000107404    1    1260656    1319798      19       2  5744       0.4099      0.34094
ENSG00000162576    1    1278069    1332157      21       2  5744      0.41102      0.34053
ENSG00000175756    1    1299110    1345875      22       2  5744      0.40247      0.34367
ENSG00000224870    1    1299900    1347426      22       2  5744      0.40247      0.34367
ENSG00000272455    1    1309476    1355998      21       1  5744      0.40055      0.34437
ENSG00000221978    1    1311091    1369715      18       1  5744      0.40252      0.34365
ENSG00000225905    1    1320625    1368071       4       1  5744      0.42504       0.3354
ENSG00000205116    1    1326508    1373167       2       1  5744      0.42863       0.3341
ENSG00000242485    1    1327289    1377673       2       1  5744      0.42863       0.3341
ENSG00000179403    1    1335241    1388262       2       1  5744      0.42863       0.3341
ENSG00000205090    1    1460158    1511004       3       1  5744       1.4206     0.077721
ENSG00000160075    1    1467053    1545243       3       1  5744       1.4206     0.077721
ENSG00000215014    1    1474482    1522455       3       1  5744       1.4206     0.077721
ENSG00000248333    1    1560603    1685919       5       1  5744     0.078789       0.4686
ENSG00000008128    1    1623818    1690796      13       1  5744     0.045026      0.48204
ENSG00000215790    1    1646277    1712438      35       3  5744     -0.38812      0.65104
ENSG00000008130    1    1672671    1746896      56       5  5744     -0.49675      0.69032
ENSG00000078369    1    1706724    1857556     123       8  5744     -0.68782      0.75422
ENSG00000231050    1    1787910    1834097      32       4  5744     -0.70565       0.7598
ENSG00000169885    1    1811547    1858735      61       5  5744     -0.58791       0.7217
ENSG00000178821    1    1839029    1885718      84       5  5744     -0.50732      0.69403
ENSG00000142609    1    1843390    1970276      88       5  5744     -0.63797      0.73825
ENSG00000067606    1    1946850    2126834     230      16  5744      0.74023      0.22958
ENSG00000271806    1    2062523    2111718      74       5  5744       1.3794      0.08388
ENSG00000182873    1    2103233    2150828      52       7  5744      0.88469      0.18816
ENSG00000162585    1    2105900    2179159      85      10  5744      0.50717      0.30602
ENSG00000234396    1    2108962    2162177      56       8  5744      0.60415      0.27287
ENSG00000157933    1    2124758    2251652     174      24  5744     -0.46528      0.67914
ENSG00000287356    1    2211479    2264524      92      15  5744      0.11677      0.45352
ENSG00000116151    1    2242692    2358146     250      36  5744       1.2338      0.10864
ENSG00000272161    1    2247640    2293132     132      18  5744       1.5517     0.060371
ENSG00000272420    1    2284500    2330067     111      21  5744      0.14058       0.4441
ENSG00000157916    1    2288214    2346881     123      24  5744       0.3889      0.34867
ENSG00000149527    1    2322419    2446971     162      24  5744       1.6707     0.047394
ENSG00000157911    1    2325403    2380236      58      12  5744      0.83607      0.20156
ENSG00000224387    1    2413739    2459697      68       5  5744       1.7886     0.036842
ENSG00000229393    1    2414876    2460918      68       5  5744       1.7886     0.036842
ENSG00000272449    1    2426503    2488899      81       6  5744       1.5201     0.064247
ENSG00000157881    1    2429976    2493050      80       7  5744       1.4331     0.075911
ENSG00000197921    1    2450184    2496702      49       5  5744      0.49075       0.3118
ENSG00000157873    1    2452078    2506821      67       5  5744      0.26032      0.39731
ENSG00000238164    1    2471359    2523470      68       4  5744      -0.1193      0.54748
ENSG00000157870    1    2482930    2532908      91       5  5744    -0.028956      0.51155
ENSG00000142606    1    2512078    2599455     121       4  5744      0.15736      0.43748
ENSG00000237058    1    2529007    2578059      83       2  5744      0.22642      0.41044
ENSG00000215912    1    2557415    2753282      82       7  5744      0.11403      0.45461
ENSG00000285945    1    2649638    2711278      19       4  5744     0.045586      0.48182
ENSG00000283259    1    2655149    2703019      11       3  5744     0.057994      0.47688
ENSG00000142611    1    2950732    3365185     767      97  5744     0.066266      0.47358
ENSG00000177133    1    2966179    3020001      59      12  5744     -0.15931      0.56329
ENSG00000286518    1    3274379    3325492     123      21  5744      -1.1398      0.87281
ENSG00000130762    1    3336229    3407677     169      16  5744       1.2451      0.10656
ENSG00000272088    1    3368810    3414191     109      10  5744      0.97407      0.16501
ENSG00000162591    1    3394515    3563072     219      43  5744     -0.39865      0.65493
ENSG00000158109    1    3506579    3556691      88      16  5744     -0.16507      0.56556
ENSG00000238260    1    3529754    3576307      50       7  5744      0.27113      0.39315
ENSG00000078900    1    3534080    3662765     186      29  5744     0.040157      0.48398
ENSG00000116213    1    3537331    3604325      38       7  5744      0.46557      0.32076
ENSG00000227589    1    3565502    3620336      37       5  5744      0.36967      0.35582
ENSG00000162592    1    3628024    3698209     180      28  5744    -0.028803      0.51149
ENSG00000235169    1    3654325    3702546     119      17  5744     0.027453      0.48905
ENSG00000272153    1    3666572    3712102     115      16  5744     -0.30958      0.62156
ENSG00000130764    1    3685123    3748062     200      15  5744      -1.7134      0.95668
ENSG00000116198    1    3718650    3808778     341      16  5744      -1.2096      0.88678
ENSG00000169598    1    3738831    3811993     268      15  5744      -1.1065      0.86574
ENSG00000236423    1    3781916    3843789      79       4  5744       -0.071       0.5283
