source_ensembl	source	target_ensembl	target	ratio
ENSG00000171885	AQP4	ENSG00000020129	NCDN	1.24674247194341
ENSG00000140988	RPS2	ENSG00000102003	SYP	1.24372288802294
ENSG00000140988	RPS2	ENSG00000132475	H3F3B	1.23987000481464
ENSG00000189403	HMGB1	ENSG00000115306	SPTBN1	1.23142178956702
ENSG00000189403	HMGB1	ENSG00000137409	MTCH1	1.22870339148491
ENSG00000112695	COX7A2	ENSG00000132475	H3F3B	1.22863464225683
ENSG00000127585	FBXL16	ENSG00000198258	UBL5	1.2280541532309
ENSG00000171885	AQP4	ENSG00000105220	GPI	1.22585690466705
ENSG00000180354	MTURN	ENSG00000102003	SYP	1.22502001683467
ENSG00000149273	RPS3	ENSG00000132475	H3F3B	1.22191444524104
ENSG00000104904	OAZ1	ENSG00000171885	AQP4	1.22130857648099
ENSG00000074800	ENO1	ENSG00000127585	FBXL16	1.21710684495737
ENSG00000132475	H3F3B	ENSG00000166136	NDUFB8	1.21705471233396
ENSG00000198034	RPS4X	ENSG00000170889	RPS9	1.21189493679177
ENSG00000186010	NDUFA13	ENSG00000197111	PCBP2	1.21151594966345
ENSG00000198258	UBL5	ENSG00000171885	AQP4	1.21127011990122
ENSG00000166681	BEX3	ENSG00000171885	AQP4	1.21089557750175
ENSG00000125868	DSTN	ENSG00000102003	SYP	1.21083109044939
ENSG00000132475	H3F3B	ENSG00000125356	NDUFA1	1.20898993405068
ENSG00000102109	PCSK1N	ENSG00000171885	AQP4	1.20822592391367
ENSG00000142168	SOD1	ENSG00000132475	H3F3B	1.20271249118393
ENSG00000203879	GDI1	ENSG00000127585	FBXL16	1.20266594658288
ENSG00000147403	RPL10	ENSG00000127585	FBXL16	1.20239388500535
ENSG00000102003	SYP	ENSG00000149273	RPS3	1.20141614127638
ENSG00000124614	RPS10	ENSG00000132475	H3F3B	1.20071780925879
ENSG00000186010	NDUFA13	ENSG00000102003	SYP	1.20012408476485
ENSG00000137409	MTCH1	ENSG00000102003	SYP	1.19925820001787
ENSG00000115306	SPTBN1	ENSG00000127585	FBXL16	1.19880850317603
ENSG00000111716	LDHB	ENSG00000127585	FBXL16	1.19786898839138
ENSG00000186010	NDUFA13	ENSG00000127585	FBXL16	1.19768752058523
ENSG00000137409	MTCH1	ENSG00000224078	SNHG14	1.19724551946915
ENSG00000189403	HMGB1	ENSG00000130294	KIF1A	1.19636926623427
ENSG00000171885	AQP4	ENSG00000145362	ANK2	1.19609906289943
ENSG00000224078	SNHG14	ENSG00000180354	MTURN	1.1957432226622
ENSG00000189403	HMGB1	ENSG00000102003	SYP	1.19539256482564
