GENE             CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P
ENSG00000224905   21  15364740  15526789     51       9  6379      0.25383      0.39981
ENSG00000188992   21  15471134  15618212     56      15  6379     -0.09801      0.53904
ENSG00000185272   21  15553451  15610693     16       7  6379       -1.015      0.84494
ENSG00000155304   21  15733436  15790805     45      11  6379      0.87957      0.18955
ENSG00000155307   21  15847549  16066142     60      22  6379       1.0527      0.14623
ENSG00000223662   21  15919523  15980624     18       5  6379       1.2511      0.10545
ENSG00000232884   21  16090717  16161246     12       4  6379      0.39988      0.34462
ENSG00000226751   21  16124031  16170411      4       2  6379      0.52037       0.3014
ENSG00000281903   21  16182020  16325873      6       3  6379      -1.5864      0.94368
ENSG00000235277   21  16255855  16329417      1       1  6379      0.81687        0.207
ENSG00000229047   21  16298630  16346554      1       1  6379      0.81687        0.207
ENSG00000231201   21  16308791  16375175      4       2  6379      0.97411        0.165
ENSG00000180530   21  16323556  16473257     14       6  6379      0.22559      0.41076
ENSG00000236471   21  16404391  16450158      6       3  6379     -0.59391      0.72372
ENSG00000229425   21  16731285  17034661     26       5  6379      0.16367        0.435
ENSG00000155313   21  17067344  17262388     75       2  6379      0.47552      0.31721
ENSG00000215386   21  17265616  18027786    132      33  6379     -0.39659      0.65417
ENSG00000270071   21  17653400  17717703      4       2  6379     -0.57911      0.71874
ENSG00000270139   21  17779459  17826400     27       8  6379     -0.68998       0.7549
ENSG00000269950   21  17937038  17989957      9       1  6379      0.62012      0.26759
ENSG00000237735   21  18116838  18223007     50       4  6379        -1.85      0.96784
ENSG00000232886   21  18225195  18281011      8       3  6379       -1.105      0.86541
ENSG00000232560   21  18776139  18832422     23       5  6379        1.327     0.092258
ENSG00000154639   21  18850361  18975897     41       8  6379     -0.35214      0.63763
ENSG00000280594   21  18949062  19015517     17       5  6379      0.72833      0.23321
ENSG00000154640   21  18955971  19020265     15       4  6379      0.69003      0.24509
ENSG00000226956   21  19021594  19067702     18       3  6379       0.0617       0.4754
ENSG00000240770   21  19125632  19199840     10       3  6379        0.798      0.21243
ENSG00000244676   21  19130805  19193162     10       3  6379        0.798      0.21243
ENSG00000154642   21  19151291  19226703     10       3  6379      0.83221      0.20265
ENSG00000231755   21  19197333  19292925      7       2  6379     0.072263       0.4712
ENSG00000154645   21  19238580  19649690    147      34  6379     -0.52972      0.70185
ENSG00000227330   21  19384687  19522222     46      14  6379      0.49767      0.30936
ENSG00000154646   21  19631433  19893197    109      35  6379      -1.0032      0.84213
ENSG00000224141   21  19923583  20167638    187      23  6379      0.42073      0.33697
ENSG00000226204   21  20315582  20374376     26       7  6379      0.73021      0.23263
ENSG00000233480   21  21255427  21307357     12       5  6379      -1.6254      0.94796
ENSG00000224924   21  22013763  22211134     89      13  6379     0.052846      0.47893
ENSG00000154654   21  22335727  22925650    222      57  6379      -1.7466      0.95965
ENSG00000226771   21  22585616  22634150      2       1  6379      0.11864      0.45278
ENSG00000234730   21  22904084  22997758    102      11  6379      -1.6132      0.94665
ENSG00000233997   21  23084293  23179735     56      15  6379      -1.4355      0.92442
ENSG00000227075   21  23295635  23383000     11       4  6379       0.7693      0.22086
ENSG00000233215   21  23371075  23505837     46       8  6379     -0.55297      0.70986
ENSG00000184856   21  23435935  23498924     30       4  6379     -0.53305        0.703
ENSG00000226043   21  23547239  23803139     98      30  6379       1.5971     0.055122
ENSG00000234034   21  23862924  23927377     15       6  6379       1.9088     0.028142
ENSG00000230972   21  24402813  24513528     74      16  6379      -1.4702      0.92925
ENSG00000286222   21  24469250  24527225     45      12  6379     -0.92933      0.82364
ENSG00000228592   21  24715251  24831098    102      25  6379       1.3882     0.082539
ENSG00000227716   21  24814960  24873043     57      11  6379       1.6708     0.047378
ENSG00000288094   21  25041577  25091662     32       7  6379      -1.8393      0.96706
ENSG00000287612   21  25194397  25271466     23       6  6379       1.1242      0.13047
ENSG00000287801   21  25344960  25521665    117      14  6379     -0.30851      0.62115
ENSG00000226996   21  25380572  25432601     15       6  6379      0.43851      0.33051
ENSG00000224018   21  25517185  25600237     97       8  6379     -0.97819      0.83601
ENSG00000237484   21  25644252  25930256    187      30  6379      0.10233      0.45925
ENSG00000224832   21  25666859  25728690     25      10  6379      0.81327      0.20803
ENSG00000226983   21  26177864  26440059    126      26  6379      -1.0922      0.86263
ENSG00000227090   21  26248990  26310070     37      10  6379       -1.256      0.89544
ENSG00000230379   21  26300745  26400129     39       9  6379     -0.94963      0.82885
ENSG00000244278   21  26392848  26452219     19      10  6379      -0.2163      0.58562
ENSG00000232512   21  26432335  26485983     16       7  6379      -1.4287      0.92345
ENSG00000223870   21  26464782  26517561      8       4  6379      -1.2925      0.90191
ENSG00000222042   21  26531745  26769182    182      18  6379     -0.17925      0.57113
ENSG00000185433   21  26747701  26839013     46       7  6379     -0.85014      0.80238
ENSG00000229962   21  26877661  26926177     18       5  6379     -0.18664      0.57403
ENSG00000234883   21  26899221  26957480     25       6  6379     -0.16892      0.56707
ENSG00000260583   21  26945082  26990638     30       7  6379      0.38714      0.34932
ENSG00000154719   21  26947968  27014829     55       9  6379      0.57564      0.28243
ENSG00000154721   21  26976570  27099874     77      14  6379      0.79814      0.21239
ENSG00000287109   21  27008425  27061983     34       9  6379      0.92458      0.17759
ENSG00000154727   21  27071881  27154771     27       6  6379       1.2876     0.098949
ENSG00000154723   21  27078815  27142984     10       4  6379       1.6314     0.051398
ENSG00000142192   21  27242861  27578446    113      30  6379      0.43354      0.33231
ENSG00000233783   21  27266066  27334928     12       4  6379       1.4447     0.074278
ENSG00000224541   21  27495409  27558142     23       8  6379     -0.57607      0.71772
ENSG00000273492   21  27508189  27599700     22      10  6379      -0.5019      0.69213
ENSG00000286902   21  27679709  27728092     20       6  6379    -0.066558      0.52653
ENSG00000229025   21  27712099  27757953     17       7  6379      0.68397        0.247
ENSG00000232692   21  27715871  27854017     43      17  6379     -0.18569      0.57366
ENSG00000197934   21  27730954  27951571     92      31  6379      -1.0069        0.843
ENSG00000273115   21  27822222  27867533      4       2  6379      -1.0008      0.84155
ENSG00000166265   21  27828528  27980605     92      14  6379     -0.65458      0.74363
ENSG00000154734   21  28198074  28252728     26       7  6379       1.9362     0.026422
ENSG00000223563   21  28226695  28322061     40       8  6379       2.0309     0.021131
ENSG00000154736   21  28280241  28374407     47       8  6379     -0.79114      0.78557
ENSG00000236332   21  28698440  28778106     16       8  6379      -1.7135      0.95669
ENSG00000231236   21  28721204  28855898     45      18  6379     -0.31927      0.62524
ENSG00000234052   21  28975932  29057343     51      12  6379     -0.39167      0.65235
